요리명,탄수화물(g/100g),단백질(g/100g),지방(g/100g),코멘트
비빔밥,29.3,6.2,5.1,"""비빔밥,""균형 잡힌 한 끼 식사지만 흰 쌀밥 기반이라 정제된 탄수화물 함량이 높습니다. 당지수가 높아 혈당 스파이크를 유발할 수 있으니 현미나 잡곡으로 대체하면 좋습니다. 고기와 채소를 충분히 넣어 단백질을 보충하고, 고추장은 첨가당이 포함되어 있으니 적정량만 사용하세요. 운동 후 회복식으로 적합하지만, 다이어트 중이라면 고추장과 참기름의 양을 조절하세요."""
된장찌개,5.8,8.2,3.6,"""된장찌개,""콩 발효식품인 된장은 식물성 단백질과 유익한 프로바이오틱스를 함유하고 있습니다. 당분이 낮고 혈당 지수가 낮아 다이어트에 적합합니다. 다만 나트륨 함량이 높으니 염분 섭취에 주의하세요. 두부, 버섯, 해산물 등을 추가하면 단백질 함량을 높일 수 있어 근비대에도 도움이 됩니다. 식물성 원료 위주여서 포화지방이 적고 건강한 불포화지방 비율이 높습니다."""
김치찌개,4.4,7.5,5.2,"""김치찌개,""발효식품인 김치는 프로바이오틱스가 풍부하고 당분이 낮아 장 건강과 혈당 관리에 좋습니다. 포화지방 함량은 사용하는 고기(삼겹살, 목살 등)에 따라 달라지니, 다이어트 중이라면 살코기나 참치를 선택하세요. 나트륨 함량이 높아 과다 섭취 시 수분 저류를 유발할 수 있습니다. 두부를 추가하면 단백질 함량을 높이고 포화지방 비율을 낮출 수 있어 근비대와 체지방 관리 모두에 도움이 됩니다."""
순두부찌개,3.8,9.4,6.2,"""순두부찌개,""두부의 식물성 단백질과 콩에서 오는 건강한 지방이 특징입니다. 동물성 재료가 들어가더라도 국물에 지방이 희석되어 포화지방 섭취를 줄일 수 있습니다. 당분이 거의 없고 혈당 지수가 낮아 다이어트에 좋습니다. 다만 나트륨 함량이 높을 수 있으니 염분 섭취에 주의하세요. 두부, 해산물, 계란으로 단백질 함량을 높이면 근비대에도 도움이 됩니다."""
불고기,7.2,23.5,9.4,"""불고기,""양질의 단백질이 풍부하지만, 양념에 설탕과 과일 당분이 다량 포함되어 있습니다. 당분이 근육 회복에 도움이 되긴 하나, 다이어트 중이라면 당분이 적은 양념을 선택하세요. 지방 함량의 상당 부분이 포화지방으로, 심혈관 건강을 위해 기름기를 제거하고 섭취하는 것이 좋습니다. 근비대를 원한다면 단백질 섭취원으로 좋지만 당분 섭취에 주의하세요."""
갈비탕,5.7,18.2,7.4,"""갈비탕,""갈비의 콜라겐이 풍부하여 관절 건강에 도움이 되며, 양질의 단백질을 제공합니다. 하지만 갈비는 지방이 많은 부위로 포화지방 함량이 높습니다. 푹 고아낸 국물은 지방이 분리되므로 지방층을 걷어내는 것이 좋습니다. 당분은 낮지만 오랜 조리 과정에서 뼈에서 나오는 미네랄이 풍부합니다. 다이어트 중이라면 고기양을 줄이고, 근비대 시에는 살코기 위주로 섭취하세요."""
떡볶이,31,4.9,3.6,"""떡볶이,""떡은 정제된 탄수화물로 당지수가 매우 높고, 고추장 소스에 첨가당이 다량 포함되어 있습니다. 혈당을 급격히 올려 인슐린 저항성을 악화시킬 수 있으므로 다이어트 중에는 소량만 섭취하세요. 단백질도 부족해 근비대에 효과적이지 않습니다. 불가피하게 먹을 경우 어묵, 계란 등 단백질 식품을 추가하고, 소스는 줄이는 것이 좋습니다."""
라면,33.2,7.4,14.1,"""라면,""정제된 밀가루와 팜유에서 오는 높은 포화지방 함량이 특징입니다. 탄수화물은 주로 단순당으로 구성되어 혈당을 급격히 올리고, 나트륨 함량도 매우 높습니다. 지방은 대부분 트랜스지방과 포화지방으로 구성되어 체지방 축적과 염증 반응을 촉진할 수 있습니다. 다이어트와 근비대 모두에 정기적인 섭취는 권장되지 않으며, 불가피할 경우 스프는 반만 사용하고 계란이나 닭가슴살을 추가하세요."""
짜장면,30.5,7.2,10.4,"""짜장면,""정제된 밀가루 면과 첨가당이 들어간 짜장 소스로 인해 당분과 탄수화물 함량이 높습니다. 짜장 소스에는 카라멜 색소와 설탕이 포함되어 있어 혈당을 급격히 올릴 수 있습니다. 기름에 볶는 조리법으로 트랜스지방과 포화지방 함량도 높은 편입니다. 다이어트 중이라면 면 양을 줄이고 단백질(고기, 해산물)과 채소 비중을 높이세요. 근비대에도 단백질 함량이 낮아 효율적이지 않습니다."""
짬뽕,25.3,9.7,6.8,"""짬뽕,""해산물의 양질의 단백질과 다양한 채소가 포함되어 비타민과 미네랄이 풍부합니다. 그러나 기름에 볶는 조리법으로 포화지방과 트랜스지방 함량이 높고, 정제된 밀가루 면은 당지수가 높습니다. 매운 맛이 대사를 촉진하는 장점이 있으나, 염분이 높아 수분 저류를 일으킬 수 있습니다. 다이어트 시에는 국물 위의 기름을 걷어내고, 근비대를 원한다면 해산물과 고기의 양을 늘리세요."""
